unstructured_name,rx_norm,type
tab ibuprofen 400mg b.d,ibuprofen,Drug
syr ibubrofen 5mls tds x 5/7;,ibuprofen,Drug
IBRUPROFEN SYRUP,ibuprofen,Drug
Syr ibuprofen 5mls bd x3/7,ibuprofen,Drug
Amedin 10mg TAB641,amlodipine,Drug
TABS AMLODPINE 10MG DLY X 1/52,amlodipine,Drug
TABS AMILODIPINE 1OMG DAILY,amlodipine,Drug
TABS AMLODIPINE 10MG AM FROM TOMORROW,amlodipine,Drug
Tab Amlodipine 10mg dly x 1/12  Tab Vasoprin 75mg dly x /12,amlodipine,Drug
tabs amlodpipine 5mg daily for 1 month,amlodipine,Drug
abs amlodipine 5mg daily x1month TABS BISOPROLOL 1.25MG DAILY X1/12,amlodipine,Drug
tabs amlodipine 10mg dly for 2wks,amlodipine,Drug
AMLODIPINE 5MG DAILY X 1/12,amlodipine,Drug
tab amlodipine 5mg dly x1/12,amlodipine,Drug
tab amilodipine 10mg start,amlodipine,Drug
Amlodipine tabs 10mg dly,amlodipine,Drug
ASOMEX,amlodipine,Drug
"tab amlodipine 5mg dly x 1/52    × tab vasoprin 75mg dly x 1/52,Tab duodart1dly*1/12.",amlodipine,Drug
tba amlodipine 10mg dly x 1/52,amlodipine,Drug
tab Amlodipine 10mg daily x 1/12-,amlodipine,Drug
"IM arthemether 280mg stat, then P-alaxin 4-3-3, tab pcm 2 tds * 3/7",artemether,Drug
IM artemether 135mg stat,artemether,Drug
IM Artemether 160mg STAT,artemether,Drug
IM ARTHEMETER 600MG STAT,artemether,Drug
im artemeter 18mg dly x 3/7,artemether,Drug
"IM EMAL 150MG STAT, IM PCM 600MG STAT",artemether,Drug
IM EMal 55mg stattt,artemether,Drug
i.m arthemether 160mg dly  for 3 day,artemether,Drug
im arthemeterr  60mg daily x open,artemether,Drug
im pcm 200mg stat+ arthemeter 90mg,artemether,Drug
IM arthemeter 25mg stat.... IM pcm 150mg stat... syrup ibuprofen 5mls bd x 5/7... tab zinc 10mg dly x 2/52... ORS soln 100mls/loose stool. IM promethazine 3.125mg stat. ..syruo fleming 2.5mls bd x 10/7.,artemether,Drug
im arthemeter 54mg stat,artemether,Drug
IM arthemeter 30mg stat + IM pcm 150mg stat.,artemether,Drug
im emal 40mg daily for 3days,artemether,Drug
im arthemeter 65mg daily x3days,artemether,Drug
IM Artemether 25mg daily - 3/7,artemether,Drug
im emal 50 mg dly for 3 days,artemether,Drug
"IM ARTHEMETHER 32MG STAT, THEN ORAL CAMOSUNATE (1-3YRS) 1 DAILY * 3/7, SYRUP PCM 5MLS TDS * 3/7, SYRUP FLEMING 5MLS BD * 5/7, EYE DROP GENTICINE 1 TDS * 5/7, SYRUP MULTIVITE 5MLS BD * 1/52 (AFTER ACT)",artemether,Drug
im arthemeter 40mg stat + im pcm 200mg stat,artemether,Drug
IM ATHEETER 100MG,artemether,Drug
im artemether 60mg daily s3days,artemether,Drug
im emal 3omg dly x 3/7,artemether,Drug
IM Artemether 120mg,artemether,Drug
tabs arthemeter 1 b.d x3/7,artemether,Drug
"im EMAL 150mg daily x 3/7, tab Artequick II @ 0, 24, tab ibuprofen 400mg bd 5/7",artemether,Drug
im arthemeter 160mg dly,artemether,Drug
im artemether 90mg daily x 3/7,artemether,Drug
"IM EMAL 40mg dly x3/7, then camosunate [25/75] dly x3/7",artemether,Drug
IM arthemeter 40mg stat. IM pcm 300mg stat.,artemether,Drug
IM ARTHEMETER 48MG DAILY FOR 3/7,artemether,Drug
IM Emal 20mg start then syrup P Alaxin x 3/7,artemether,Drug
IM EMAL 54 mg daily x 3/7,artemether,Drug
tab artemether 1 b.d x 3/7.,artemether,Drug
"im artemether 160mg stat, im diclofenac 75mg stat, tab amoxil 500mg tds for 5 days, tab loratadine 1 daily for 5 days, tab pcm ig tds for 3 dys",artemether,Drug
Im Artemeter 50mg stat,artemether,Drug
im artemmeeether 160mg daily x3days,artemether,Drug
im arthemeter 60mg daily x 3/7,artemether,Drug
im arthemeter 40mg stat/,artemether,Drug
IM Artemether 225mg stat,artemether,Drug
im emal 48mg daily for 2 days,artemether,Drug
IM ARTHEMETER 40MG +PCM 150MG +PIRITON 5MG,artemether,Drug
IM Emal 29mg x 3/7;,artemether,Drug
IM emal 150mg dly x3/7.,artemether,Drug
"IM Arteether 45mg stat,",artemether,Drug
IM Arthemeter 120mg dly X 3/7,artemether,Drug
"im emal 150mg x 3/7, iv ciprofloxacin 200mg bd x 2/7, iv omeprazole 40mg stat,tab act 80/480mg x 3/7, tab pcm 1g tds x 3/7,tab amoxicillin 500mg bd x 1/52, tab metronidazole 400mg bd x 1/52,tab omeprazole 20mg bd x 1/52",artemether,Drug
im emal 35mg gly x 3 days,artemether,Drug
IM artemether 50mg + 2cc CQ + promethazine 10mg,artemether,Drug
i/m artemeter 80mg dly 3/7,artemether,Drug
im artemeter 160mgdlyx3/7,artemether,Drug
IM arthemeter 20mg stat + IM pcm 150mg stat. + Im ceftriaxone 1g stat,artemether,Drug
im artrhemeter 160mg stat,artemether,Drug
im arthemeter 200mg daily for 3/7,artemether,Drug
IM ARTHEMETER 32MG DAILY FOR 3/7,artemether,Drug
"IM EMAL 150MG STAT, THEN P-ALAXIN 3-3-2, TAB PCM 2 TDS , TAB FLEMING 625MG BD * 5/7, TAB PIRITON 4MG NOCTE * 4/7",artemether,Drug
IM EMAL 150mg daily x 2/7,artemether,Drug
im emal 30mg start,artemether,Drug
IM E-mal 18mg dly x 3/7,artemether,Drug
to have 3rd of IM Arthemeter  tomorrow,artemether,Drug
IM EMal 60mg statt,artemether,Drug
give IM ARTHEMETER as earlier prescribed,artemether,Drug
im artemether 33mg daily x 3/7,artemether,Drug
IM Artemether 160mg Stat; IM Diclofenac 75mg Stat;,artemether,Drug
CT IM Emal 40mg dly x 2/7,artemether,Drug
IM arthemeter  160mg stat. + IM PCM 600mg stat.,artemether,Drug
IM artemether 60mg stat..,artemether,Drug
IM EMAL 160 MG STAT;,artemether,Drug
IM PCM 200MG +ARTHEMETER 80 MG STAT,artemether,Drug
IM ARTHEMETER 140MG DAILY FOR 3/7,artemether,Drug
IM ARTEMETHER 70MG DLY X3/7,artemether,Drug
IM  ARTHEMETER 150MG  +PCM 150MG +BCO 2CC,artemether,Drug
IM EMAL 100 G DLY 3/7;,artemether,Drug
IM ARTHEMETER 80MG +BCO 2CC,artemether,Drug
CT IM ARTHEMETHER 160 MG DLY 2/7,artemether,Drug
gvither,artemether,Drug
im arthemeter 80mg  for 3 days,artemether,Drug
IM Emal 40mg daily x 3/7,artemether,Drug
IM ARTHEMETER 90MG DAILY XOPEN,artemether,Drug
"IM ARTHEMETER 160MG STAT, IM PCM 600MG STAT",artemether,Drug
"IM ARTHEMETER 240MG STAT, THEN 160MG DAILY FOR 2/7",artemether,Drug
im arthemeter 110mg daily x 3/7,artemether,Drug
IM EMAL (BRANDED) 150 MG DLY 3/7;,artemether,Drug
im arthemeter30mg st,artemether,Drug
arteether 160mg dly,artemether,Drug
"IV artesunate 60mg stat, @12hour, @24hour, then daily for 2 days",artesunate,Drug
"IV artesunate 22mg @ 0, 12 and 24hrs",artesunate,Drug
"iv artesunate 60mg at 0, 12, 24 and 48 hours.",artesunate,Drug
IV Artesunate 140mg stat,artesunate,Drug
IV ATRESUNATE 300MG 0HR 12HRS 24HRS,artesunate,Drug
"iv artesunate 72 mg @ 0, 12 and 24 hours",artesunate,Drug
"iv artesunate 240 @ 0,12 HR",artesunate,Drug
"iv artesunate 127mg 0, 12hrs, 24hrs",artesunate,Drug
"iv artesunate 24 mg at 0,12,24 hrs",artesunate,Drug
"IF MP IS POSITIVE THEN IV ARTESUNATE 24MG @0HR,12HRS,24HR THEN SYRUP LONART 3.5MLS BD X 3/7",artesunate,Drug
PO ACT (20/120) i bd x 3/7 after completion of IV artesunate,artesunate,Drug
"IV ARTESUNATE 40MG 0,12,24 HOURS",artesunate,Drug
"IV Artesunate 220mg 0,12 and 24hrs",artesunate,Drug
"iIM ARTESUNATE 40 MG AT 0,12,24 HRS",artesunate,Drug
"iv artesunate 48mg @ 0,12,24hrs then tab ACT i bd x 3/7",artesunate,Drug
IV ATRESUNATE 40MG DLY,artesunate,Drug
"IV Artesunate 24mg @ 0, 12, 24hrs",artesunate,Drug
IM Artesunate 120mg 12hrly x3 doses,artesunate,Drug
"IV Artesunate 65mg 0,12 and 24 hrs",artesunate,Drug
"IV ARTESUNATE 120MG AT 0, 12 AND 24 HOURS.",artesunate,Drug
"iv artesunate 230mg at ohr , 12hr, 24hrs",artesunate,Drug
"IV Artesunate 33mg @ 0, 12 &24hrs",artesunate,Drug
"IV ARTESUNATE 10MG AT 0,12HRS,24HRS",artesunate,Drug
"iv artesunate 168mg 0, 12, 24hrs",artesunate,Drug
"IV Artesunate 108mg at 0, 12 and 24hrs",artesunate,Drug
"IV artesunate  32mg at 0, 12, 24hrs",artesunate,Drug
"IV Artesunate 210mg at 0, 12 & 24hrs",artesunate,Drug
"IV Artesunate 42mg at 0,12,24,48hours.",artesunate,Drug
"iv artesunate 180mg @ 0,12 and 24 hrs",artesunate,Drug
DICLOFENAC GEL TDS X1/52,diclofenac,Drug
Diclofenac Tbd,diclofenac,Drug
tab  diclofenac  100mg dly x5/y,diclofenac,Drug
diclofenac cream application.,diclofenac,Drug
tab diclofenac 50mg bd x 5/7. tab vit c 1g dly x 4/7,diclofenac,Drug
tab diclofenac 50mg bd x 5/7 + tab lozenges I tds x 5/7,diclofenac,Drug
TABS DICLOFENAC 75MG BD X3/7,diclofenac,Drug
"Im diclofenac 75mg stat,.",diclofenac,Drug
THEN GTT DICLO QID RE X 1/12(AFTER DEXA),diclofenac,Drug
IM diclofenac 75mg stat  Im Pcm 600mg stat.    tab diclofenac 50mg bd x 5/7  tab pcm 1g tds x 5/7,diclofenac,Drug
Tab diclofenac 50mg b.d × 5/7,diclofenac,Drug
GUTT DICLOFENAC QID BE X 3,diclofenac,Drug
tab diclofenac i b.d,diclofenac,Drug
im dicofenac 37.5mg stat,diclofenac,Drug
tab diclofenac  neurogesic cream,diclofenac,Drug
Diclogenac gel,diclofenac,Drug
IM diclofenac 75mg stat=,diclofenac,Drug
Tabs Diclofenac 50mgbd x 5/7,diclofenac,Drug
DICLOFENAC [SLOW  RELEASE],diclofenac,Drug
"tab diclofenac 50mg bd x 5/7, tab paracetamol 1g tds x 5/7",diclofenac,Drug
Tab Diclofenac 50mg PRN (Give 6 tablets),diclofenac,Drug
Tab Diclofenac 50mg BD*5/7:,diclofenac,Drug
tabs diclofenac 50mg bd for 5 days;,diclofenac,Drug
tab diclofenac 50mg bd x 5/7. + tab flagyl 400mg tds x 5/7,diclofenac,Drug
tab diclofenac 50mg bd x3/7.,diclofenac,Drug
tab diclofenac 50mg b.dx 5/7,diclofenac,Drug
"tab diclofenac 50mg bd x 5/7, tab pcm 1g tds x 5/7",diclofenac,Drug
Caps Olfen,diclofenac,Drug
"1. dc im diclofenac, fortwin and iv pcm",diclofenac,Drug
Topical Lofnac use 3 times daily at affected side.,diclofenac,Drug
DICLONAC GEL,diclofenac,Drug
IM DICLOFENAC 40MG 12HOURLY,diclofenac,Drug
IV Diclofenac 75MG 12hrly,diclofenac,Drug
Voltaren spray,diclofenac,Drug
Diclofenac eye drop 2 drops bd for 1 week,diclofenac,Drug
DICLOFEAC,diclofenac,Drug
tab diclfenac 50 mg bd 5/7,diclofenac,Drug
gutt diclo qid 7/7 then bd for 3/52,diclofenac,Drug
tab diclofenac 50mg bd x 5/7. tab metoclopramide 10mg bd x 3/7,diclofenac,Drug
GUTT DICLO QDS BE X 3 BOTTLES,diclofenac,Drug
ANALGESIC BALM,diclofenac,Drug
"Tabs diclofenac 50mg bd x1/52, Tabs Erythromycin 500mg tds x 1/52, Tabs vit C 200MG TDS X 1/52.",diclofenac,Drug
TAB DCLOFENAC 50 MG BD 4/7;,diclofenac,Drug
GUTT DICLO 2HRLYLE 2/7 THEN QID,diclofenac,Drug
"im emal 150mg dly x 3/7, im diclofenac 75mg dly x 2/7,tab pcm 1g tds x 3/7,tab amoxiclav 625mg bd x 1/52,tab act 80/480mg bd x 3/7.",diclofenac,Drug
im dicofenac 75mg stat,diclofenac,Drug
Lofnac jel,diclofenac,Drug
TABS DICOLFENAC 100MG BD X1/52,diclofenac,Drug
IM diclofenac 75MG B.Dx3/7,diclofenac,Drug
TABS IM DICLOFENAC 75MG STA,diclofenac,Drug
IM furosemide 60mg stat,furosemide,Drug
iv frusemide 10mg 12hrly x 48hrs,furosemide,Drug
tab lasix 80mg bd x 1/12,furosemide,Drug
iv furosemide 20mg 12hourly,furosemide,Drug
IV FRUSEMIDE 60MG,furosemide,Drug
IV Laxis 40mg 12hrly x 2/7,furosemide,Drug
IV FUROSEMIDE 20MG POST TRANSFUSION,furosemide,Drug
Iv frusemide 40mg bd,furosemide,Drug
Tab Laxis 40mg bd X 1/52,furosemide,Drug
IM LASIX 40MG  BD X,furosemide,Drug
iv frusemide 5mg bd x 48hrs,furosemide,Drug
TRANSFUSE [2] UNIT OF FWB STAT UNDER FRUSEMIDE COVER OF 20MG  AT 41DROPS PER MINUTE,furosemide,Drug
iv furosemide 5mg 12hrly x 24hrs,furosemide,Drug
tab lasix 20mg daily for 1/12,furosemide,Drug
iv laxis 20mg post transfusion,furosemide,Drug
Tab lasix 10mg daily for 1/12,furosemide,Drug
PO Furosemide 20mg bd,furosemide,Drug
iv frusemide 40mg stat then 20mg bd x 24hrs,furosemide,Drug
iv frusermide 20mg stat,furosemide,Drug
transfuse with a unit of sedimented red cells under lasix cover 4 hours. the blood has been typed and crossmatched and found compatible with that of the patient's,furosemide,Drug
"tabs frusemide 40 mg bd for 1wk, THEN 20mg bd for 1 wk",furosemide,Drug
IV Lasix 20mg 12hrly x 3/7,furosemide,Drug
IV FRUSEMIDE 2MG STAT,furosemide,Drug
TABS FRUSEMIDE 10MG BD X 2/52,furosemide,Drug
IV Gentamicin 40mg daily,gentamicin,Drug
"discontinue IV genticin, continue other antibiotics",gentamicin,Drug
"Iv genticin 160mg stat, 80mg  12hrly x 24hrs.",gentamicin,Drug
IV GENTICIN 20MG TDS X 24HRS,gentamicin,Drug
IV gentimycin 30mg 12hourly,gentamicin,Drug
IV GENTAMYCIN 33MG TDS X 3/7,gentamicin,Drug
i v genta,gentamicin,Drug
iv genticin 80mg 8 hourly x 72 hours,gentamicin,Drug
iv genticin 12mg 8hrly x 2 days,gentamicin,Drug
iv genticin 32.5mg 12hrly x 5/7,gentamicin,Drug
iv genticin 48mg 8hrly x 3/7,gentamicin,Drug
IV gentamacin 80mg 12hourly,gentamicin,Drug
iv genticin 7.5mg 8hrly for 72hrs,gentamicin,Drug
iv gentamycin 35mg 12hrly,gentamicin,Drug
iv genticin 33mg tds x 5/7,gentamicin,Drug
IV GENTICIN 3MG TDS X1/52,gentamicin,Drug
iv gentamicin 18mg 12hrly,gentamicin,Drug
eyedrop gentamycin,gentamicin,Drug
IV GENTAMYCIN 32MG TDS X 3/7,gentamicin,Drug
IV GENTICIN 65MG STAT,gentamicin,Drug
gentalek 80mg inj,gentamicin,Drug
IV Genticin 80mg tds x 1/52,gentamicin,Drug
"IV genticin 160mg stat, 80mg 12hrly",gentamicin,Drug
IV Genticin 80mg dly,gentamicin,Drug
iv genticin 30mg dly,gentamicin,Drug
1 dc iv genticin,gentamicin,Drug
IV GENTAMYCIN 40MG 8HRLY X 72HRS,gentamicin,Drug
IV Genticin 12mg TDS X5/7,gentamicin,Drug
iv genticin 15mg 12hrly for 48n hrs,gentamicin,Drug
iv gentamycin 25mg dly,gentamicin,Drug
IV Genticin 12mg daily,gentamicin,Drug
i.n genticin,gentamicin,Drug
iv genticin 11mg 8 hourly x 5/7,gentamicin,Drug
GENTAMICIN OINTMENT,gentamicin,Drug
I.M Genticin,gentamicin,Drug
Iv genticin 40mg dly x 3/7,gentamicin,Drug
Gentamicin ear drop 2 drops 6 hourly X 5/7,gentamicin,Drug
tab lisinopril 10mg nocte x 1/12,lisinopril,Drug
lisinipril 2.5mg  daily x 1 month,lisinopril,Drug
Tab lisinopril 10mg nocte x1/12,lisinopril,Drug
tab lisinopril 5mg nocte for 1/12,lisinopril,Drug
"Tab lisinopril 10mg nocte x2/52,",lisinopril,Drug
LISNOPRIL 10MG DAILY X OPEN,lisinopril,Drug
TABS LISINOIPRIL 10MG DLY,lisinopril,Drug
Tabs Lisinopril 5mg daily  x  7/7,lisinopril,Drug
Tab Lisinopril 5mg daily for 1/12,lisinopril,Drug
tab lisinopril 10mg nocte x 1/12;,lisinopril,Drug
tabs lisinopril 5mg daily for 2 weeks,lisinopril,Drug
tab loratidine 10mg nocte for 3 days,loratadine,Drug
syrup loratidine 2.5mls daily for 5/7,loratadine,Drug
syr loratidine 5mls bd for 5/7,loratadine,Drug
syr loratidine 3mls daily for 1/52,loratadine,Drug
Tab loratidine T x 5/7,loratadine,Drug
Syrup Loratadine 3mls tds - 3/7,loratadine,Drug
"syrup loratidine 2.5mls bd x 5/7, syrup abidec 2.5mls bd x 5/7,",loratadine,Drug
Tab Loratidine 10mg daily for 3 days,loratadine,Drug
Tab LOratidine 10 mg dly 1/52:,loratadine,Drug
tab loratidine 10mg dly x 3/7;,loratadine,Drug
Loratidine tab 10mg,loratadine,Drug
Syr Loratidine 2.5mls bd x 2/52,loratadine,Drug
syrup loratadine 5mls bd x 5/7... camosunate 1 tab bd x 3/7... tab ibuprofen 400mg bd x 5/7,loratadine,Drug
SYR LORATADINE 5MLS DLY X 5/7,loratadine,Drug
syrup loratadine 3.5mls daily x 5/7,loratadine,Drug
loratidine 10mg dly x 3days,loratadine,Drug
syr loratidine 7.5mg daily x 5/7,loratadine,Drug
tab loratadine 5mgs daily x 5/7,loratadine,Drug
TABS  LORATIDINE 5MG  DAILY  5DAYS,loratadine,Drug
tab loratidine 10mg bd*5/7:,loratadine,Drug
tabs loratidine 1 daily x4days,loratadine,Drug
Tab laratidine T bd x 2/7,loratadine,Drug
TABS LORATIDINE 10MG DLY X 4/7.,loratadine,Drug
TABS LORATADINE 10MG NOCTE X 4/7,loratadine,Drug
loratadine 5 MG Disintegrating Oral Tablet,loratadine,Drug
TAB LORATIDINE 10MGDLY X5/7,loratadine,Drug
"tab loratidine 10mg daily, vitamin c 500mg tds",loratadine,Drug
tab loratidine 5 mg dly 5/7;,loratadine,Drug
tabs loratidine 1 dly x 4days,loratadine,Drug
Loratadine 5mg bdx 5/7,loratadine,Drug
"tab loratadine 10mg dly x 5/7,tab lozenges ii tdsx 5/7",loratadine,Drug
Loratadine 10mg oral tablet,loratadine,Drug
tab loratadine 10mg bd x 5/7... tab diclofenac 50mg bd x 5/7.... syrup 10mls bd x 1/52.,loratadine,Drug
tab nifedipine 20mg daily x 1/52.,nifedipine,Drug
Tab Nifedipinexl 20mg tds,nifedipine,Drug
Nifedipin,nifedipine,Drug
tabs nifidipine 40mg bd x open,nifedipine,Drug
Sublingual nifedipine 20mg bd x2/52;,nifedipine,Drug
"sublingual nifedipine 20mg stat,,",nifedipine,Drug
tab nifedipine 20mg tds.... to be given  WHEN THE BP IS ABOVE 150/100..... CHECK THE BP BEFORE SERVING THE DRUG,nifedipine,Drug
tab nifedipine 20mg dly x3/7,nifedipine,Drug
tabs nifecard 30mg bd x 2weeks,nifedipine,Drug
sl nifedipine,nifedipine,Drug
tab Nifedipine 20mg bdx x 2/52;,nifedipine,Drug
Omiprazole,omeprazole,Drug
cap omeprazole20mg bd for 10/7,omeprazole,Drug
GETZOME 1 DLY 5/7,omeprazole,Drug
PO Omeprazole 20mg bd x 2/52,omeprazole,Drug
im omeprazole 40 mg stat: im hyoscine 20 mg stat,omeprazole,Drug
caps omeprazole 20mg dly x 1/52,omeprazole,Drug
tab omeprazol 20mg bd x2/52,omeprazole,Drug
tabs omeprazole 40mg dly x 2weeks,omeprazole,Drug
Cap Omeprazole 20mg bd x 2/52  Susp Gascol 10mls tds x 5/7  Cap Amoxil 500mg tds x 1/52  Tab Flagyl 400mg tds x 1/52,omeprazole,Drug
"iv omeprazole 40mg stat, then caps omeprazole 20mg bd x 5/7",omeprazole,Drug
tabs omeprazole 20mg  b.d x1/52,omeprazole,Drug
Tabs omeprazole 20mg bd x 10/7,omeprazole,Drug
Tabs Omeprazole 20mg bd - 2/252,omeprazole,Drug
omeprazole 20mg dly for 1week,omeprazole,Drug
IV OMEPRAZOLE 40MG DAILY X 48HRS,omeprazole,Drug
"CAPS OMEPRAZOLE 20MG BD X 1 WEEKS, THEN CAPS OMEPRAZOLE 20MG DLY X 1/52",omeprazole,Drug
Tabs Omeprazole 20mg,omeprazole,Drug
susp getzome (omeprazole 40 mg dly) 1 dly 10/7,omeprazole,Drug
"caps omeprazole 200mg bd x 1/52, then daily x 1/52",omeprazole,Drug
Tabs Omeprazole 40mg daily x 5/7,omeprazole,Drug
bs Omeprazole 20mg BD x 5/7,omeprazole,Drug
syrup amoxil 5ml tds x 5/7,amoxicillin,Drug
amoxicillin 500mg tds,amoxicillin,Drug
"SYRUP AMOXYL 5MLS TDS X 1/52, TAB FLAGYL 2.5MLS TDS X 5/7, ORS, TAB ZINC 20MG DLY X 10/7, TAB ACT I BD X 3/7",amoxicillin,Drug
Cap Amoxil 500mg tds x 5/7  Syr Cofex 10mls tds x 5/7  Tab Loratidine 10mg dly x 5/7  Tab Ibuprofen 400mg bd x 5/7  Diclofenac cream,amoxicillin,Drug
syrup amoxyl 7mls tds x5dyas.,amoxicillin,Drug
syrup amoxyl 10mls bd x 5/7 syrup cofex 6mls tds x 5/7 tab prednisolone 5mg bd x 5/7 then 2.5mg dly x 3/7 syrup asmalyn 2.5mls bd x 5/7,amoxicillin,Drug
Susp Amoxicillin 3mls bd x5/7,amoxicillin,Drug
iv amoxicillin 225mg 8hrly,amoxicillin,Drug
SYRUP AMOXIL 5MLS TDS X5/7,amoxicillin,Drug
syrup amoxyl 10mls bd x 1/52,amoxicillin,Drug
CAP AMOXYL 250MG TDS X 5/7 SYRUP COFEX 7.5MLS TDS X 5/7 SYRUP LORATADINE 6MLS BD X 5/7 TAB VIT C 200MG TDS X 5/7 TAB PCM 500MG TDS X 3/7,amoxicillin,Drug
syrup amoxil 4mls qds for 1 week,amoxicillin,Drug
Cap amoxil 125mg tds x 1/52,amoxicillin,Drug
tabs amoxicillin 500mg bd for 10 days,amoxicillin,Drug
cap amoxicillin 500mg t.d.s x 5/7.,amoxicillin,Drug
syrup amoxicilin 7mls t.d.s x 5/7,amoxicillin,Drug
Syrup Amoxyl 5ml t.d.s x 5/7,amoxicillin,Drug
COMPLETE CAPS AMOXYL 1G BD X 2WEEKS AS EARLIER PRESCRIBED,amoxicillin,Drug
amoxicilline 500mg tds x 2weeks,amoxicillin,Drug
syrup amoxil 5mls tds * 5/7,amoxicillin,Drug
syr amoxyl 3mls tds x 5/7,amoxicillin,Drug
cap amoxyl 1g tds x5/7,amoxicillin,Drug
Tab Amoxicillin  250mg bd for 5/7,amoxicillin,Drug
Cap Amoxil 500mg bd x 5/7   Tab Vit C 100mg tds x 1/52   Tab Ibuprofen 200mg bd x 3/7 (aftermeal),amoxicillin,Drug
syr amoxil 300mg tds for 1/52,amoxicillin,Drug
syrup amoxil 3mls tds for 1 week,amoxicillin,Drug
Syrup Amoxil 7mls tds - 1/52,amoxicillin,Drug
Tabs Amoxicillin 1g bd x 10/7,amoxicillin,Drug
amoxil cap 500mg tds x5/7,amoxicillin,Drug
"Cap Amoxicillin 500mg tds x 1/52, Tab clarithromycin 500mg bd x1/52, Tab PCM 1g tds x 3/7, Tab ACT 80/480 1bd x 3/7,",amoxicillin,Drug
CAPS AMOXICILLINE250MG TDS,amoxicillin,Drug
syrup Amoxil 100mg tds x 5/7;,amoxicillin,Drug
Amoxicillin 500mg,amoxicillin,Drug
IM Cefriazone 1g stat,ceftriaxone,Drug
iv ceftriaxone 400mg stat,ceftriaxone,Drug
iv ceftriaxone 250mg 12 hrly for 48 hrs,ceftriaxone,Drug
iv rocephin 500mg 12hrly x48hrs,ceftriaxone,Drug
IM ceftriaxone 1g stat... IM diclofenac 75mg stat.,ceftriaxone,Drug
iv ceftriaxone 1gm 12hourly,ceftriaxone,Drug
IV Ceftriaxone (ROCEPHIN) 1g 12hrly,ceftriaxone,Drug
IV CEFTRIAXONE 450MG 12 HOURLY X 48 HOURS.,ceftriaxone,Drug
iv ceftriazone 1gm,ceftriaxone,Drug
IM CEFTRIAZONE 2G STATS,ceftriaxone,Drug
rocephine 1g,ceftriaxone,Drug
IM Rocephin 300mg 12hrly,ceftriaxone,Drug
IV Ceftriaxone 1g dly x (open),ceftriaxone,Drug
im ceftriaxone 1g tomorow,ceftriaxone,Drug
IV CEFTRIAXONE 1G 12 HOURS X 72 HOURS,ceftriaxone,Drug
iv ceftriazone  365mg b.d x 5/7,ceftriaxone,Drug
IV CEFTRIAXONE 200MG 12HRLY 72HRS,ceftriaxone,Drug
im ceftriaxone 1g stat then syrup fleming 5mls bd for 1 week,ceftriaxone,Drug
iv ceftraixone 1 gm 12hrly x pen,ceftriaxone,Drug
IM ceftriaxone 2gm stat + IM genatmycin 160mg stat,ceftriaxone,Drug
IV Ceftriazone 600mg 12hrly,ceftriaxone,Drug
Iv cephtriaxone 550mg 12hrly x 48hrs,ceftriaxone,Drug
iv ceftriaxone 360mg 12 hourly x 48 hours,ceftriaxone,Drug
Iv/IM Ceftriaxone 1g stat!,ceftriaxone,Drug
IV CEFTRIAXONE  1G  X12 HRLY FOR 5 DAYS,ceftriaxone,Drug
im ceftriaxone  1gm bd x5days,ceftriaxone,Drug
iv ceftriaxone (Rocephine) 250mg 12 hourly,ceftriaxone,Drug
IM Rocephin 500mg daily.,ceftriaxone,Drug
im ceftriaxone 1gm 12hrly x3doses,ceftriaxone,Drug
iv Rocephin 1g stat;then 500mg 12 hourly,ceftriaxone,Drug
"IM TRIAXIN 1G STAT,SYRUP CEFUROXIME 5MLS BD FOR 1 WEEK",ceftriaxone,Drug
iv  ceftriazone  500mg,ceftriaxone,Drug
iv  ceftriaxone 1g 12hrly for 72hrs,ceftriaxone,Drug
IM ceftriazone 100mg stat.,ceftriaxone,Drug
im ceftriaxone 1g daily x3/7,ceftriaxone,Drug
iv ceftriaxone 1g 12hly for 24hrs,ceftriaxone,Drug
iv ceftriaxone 500mg bd;,ceftriaxone,Drug
IM ceftriaxone 1gm bd x 9 doses,ceftriaxone,Drug
"IM CEFTRIAXONE 1GM DAILY * 3/7, SYRUP CEFUROXIME 5MLS BD * 5/7, IM EMAL 50MG STAT, THEN ORAL CAMOSUNATE (1-3YRS) 1 DAILY * 3/7, SYRUP COFEX 5MLS BD * 5/7, SYRUP PCM 5MLS TDS * 3/7",ceftriaxone,Drug
IV CEFTRIAXONE 1G 12 HRLY X 72 HRS,ceftriaxone,Drug
IM ceftriaxone 1g stat. + IM arthemeter 80mg stat. + IM plasil 10mg stat.,ceftriaxone,Drug
iv ceftriaxone 1g stat then tab cefuroxime 500mg bd x 1/52.,ceftriaxone,Drug
"IV Ceftriazone 2g stat, then 1g 12hrly x 72hrs",ceftriaxone,Drug
IM CFTRIAXONE 1GM DAILY X3DAYS,ceftriaxone,Drug
IM CEFTRIAXONE 500MG DAILY X 3/7,ceftriaxone,Drug
IM Ceftriaxone 800mg dly x 2/7,ceftriaxone,Drug
mirafin,ceftriaxone,Drug
EXTEND IV CEFTRIAXONE & FLAGYL FOR 3/7,ceftriaxone,Drug
IV CEFTRIAXONE 400MG 12HRLY X 3/7,ceftriaxone,Drug
IV CEFTRIAXONE 350MG 12 HRLY X 3/7,ceftriaxone,Drug
im ceftriaxone 1g stat then syrup furoxetil 5mls bd x 1/52,ceftriaxone,Drug
iv ceftriaxone 500mg bd x3/7,ceftriaxone,Drug
